RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
1,"Russell Westbrook, PG",OKC,80,36.4,820,10.3,381,4.8,13.5,2.15
2,"LeBron James, SF",CLE,82,36.9,747,9.1,347,4.2,11.8,2.15
3,"James Harden, PG",HOU,72,35.4,630,8.8,315,4.4,11.9,2.00
4,"Rajon Rondo, PG",NO,65,26.2,533,8.2,151,2.3,15.0,3.53
,"Ben Simmons, PG",PHI,81,33.7,661,8.2,278,3.4,11.6,2.38
6,"Chris Paul, PG",HOU,58,31.8,457,7.9,128,2.2,11.9,3.57
7,"Draymond Green, PF",GS,70,32.7,508,7.3,202,2.9,10.7,2.51
8,"Jeff Teague, PG",MIN,70,33.0,492,7.0,177,2.5,10.2,2.78
9,"Kyle Lowry, PG",TOR,78,32.2,537,6.9,183,2.3,10.3,2.93
10,"Damian Lillard, PG",POR,73,36.6,481,6.6,206,2.8,8.6,2.33
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Spencer Dinwiddie, PG",BKN,80,28.8,524,6.6,128,1.6,10.9,4.09
12,"J.J. Barea, PG",DAL,69,23.2,434,6.3,143,2.1,13.0,3.03
13,"Elfrid Payton, PG",ORL/PHX,63,28.7,393,6.2,168,2.7,10.4,2.34
,"Dennis Schroder, PG",ATL,67,31.0,417,6.2,183,2.7,9.6,2.28
15,"Nikola Jokic, C",DEN,75,32.5,458,6.1,210,2.8,9.0,2.18
16,"Jrue Holiday, PG",NO,81,36.1,486,6.0,213,2.6,8.0,2.28
17,"Blake Griffin, PF",DET/LAC,58,34.0,334,5.8,165,2.8,8.1,2.02
18,"Jarrett Jack, PG",NY,62,25.0,348,5.6,115,1.9,10.8,3.03
,"Kemba Walker, PG",CHA,80,34.2,444,5.6,179,2.2,7.8,2.48
20,"Nicolas Batum, SG",CHA,64,31.0,349,5.5,131,2.0,8.5,2.66
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
21,"Kevin Durant, SF",GS,68,34.2,366,5.4,207,3.0,7.6,1.77
22,"Darren Collison, PG",IND,69,29.2,368,5.3,86,1.2,8.8,4.28
,"Ricky Rubio, PG",UTAH,77,29.3,410,5.3,207,2.7,8.7,1.98
,"Lou Williams, SG",LAC,79,32.8,417,5.3,234,3.0,7.7,1.78
25,"DeMar DeRozan, SG",TOR,80,33.9,417,5.2,175,2.2,7.4,2.38
,"Dennis Smith Jr., PG",DAL,69,29.7,358,5.2,194,2.8,8.4,1.85
27,"Kyrie Irving, PG",BOS,60,32.2,306,5.1,140,2.3,7.6,2.19
28,"Eric Bledsoe, PG",MIL/PHX,74,31.4,370,5.0,216,2.9,7.6,1.71
29,"Jimmy Butler, SG",MIN,59,36.7,288,4.9,108,1.8,6.4,2.67
30,"Giannis Antetokounmpo, PF",MIL,75,36.7,361,4.8,223,3.0,6.3,1.62
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Goran Dragic, PG",MIA,75,31.7,359,4.8,166,2.2,7.2,2.16
,"Joe Ingles, SF",UTAH,82,31.5,392,4.8,159,1.9,7.3,2.47
33,"Al Horford, PF",BOS,72,31.6,339,4.7,132,1.8,7.1,2.57
34,"Jerian Grant, PG",CHI,74,22.8,342,4.6,89,1.2,9.7,3.84
35,"Bradley Beal, SG",WSH,82,36.3,373,4.5,214,2.6,6.0,1.74
36,"Ish Smith, PG",DET,82,24.9,360,4.4,108,1.3,8.5,3.33
,"De'Aaron Fox, PG",SAC,73,27.8,320,4.4,173,2.4,7.6,1.85
,"Tyler Ulis, G",PHX,71,23.4,311,4.4,127,1.8,9.0,2.45
39,"Victor Oladipo, SG",IND,75,34.0,323,4.3,219,2.9,6.1,1.47
40,"Caris LeVert, SG",BKN,71,26.3,299,4.2,153,2.2,7.7,1.95
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
41,"Marc Gasol, C",MEM,73,33.0,305,4.2,194,2.7,6.1,1.57
42,"Will Barton, SF",DEN,81,33.1,331,4.1,149,1.8,5.9,2.22
43,"Khris Middleton, SF",MIL,82,36.4,328,4.0,191,2.3,5.3,1.72
,"T.J. McConnell, PG",PHI,76,22.4,303,4.0,112,1.5,8.5,2.71
,"Austin Rivers, PG",LAC,61,33.7,242,4.0,109,1.8,5.6,2.22
46,"Shelvin Mack, G",ORL,69,19.8,272,3.9,89,1.3,9.6,3.06
,"Tomas Satoransky, SG",WSH,73,22.5,286,3.9,83,1.1,8.4,3.45
,"Brandon Ingram, SF",LAL,59,33.5,230,3.9,149,2.5,5.6,1.54
49,"James Johnson, PF",MIA,73,26.6,280,3.8,142,1.9,6.9,1.97
,"D.J. Augustin, PG",ORL,75,23.5,287,3.8,123,1.6,7.8,2.33
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
51,"Donovan Mitchell, SG",UTAH,79,33.4,291,3.7,215,2.7,5.3,1.35
52,"Kent Bazemore, SG",ATL,65,27.5,228,3.5,157,2.4,6.1,1.45
53,"Dwyane Wade, SG",CLE/MIA,67,22.9,228,3.4,140,2.1,7.1,1.63
,"Jamal Murray, PG",DEN,81,31.7,274,3.4,172,2.1,5.1,1.59
,"CJ McCollum, SG",POR,81,36.1,272,3.4,151,1.9,4.5,1.80
56,"Paul George, SF",OKC,79,36.6,263,3.3,212,2.7,4.4,1.24
,"Bogdan Bogdanovic, SG",SAC,78,27.9,258,3.3,125,1.6,5.7,2.06
,"Tim Frazier, PG",WSH,59,14.2,194,3.3,57,1.0,11.1,3.40
,"Andre Iguodala, SF",GS,64,25.4,210,3.3,67,1.0,6.2,3.13
60,"Emmanuel Mudiay, PG",DEN/NY,64,19.4,206,3.2,113,1.8,7.9,1.82
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Frank Ntilikina, PG",NY,78,21.9,250,3.2,131,1.7,7.0,1.91
,"Fred VanVleet, PG",TOR,76,20.0,243,3.2,74,1.0,7.7,3.28
,"Cory Joseph, PG",IND,82,27.0,260,3.2,87,1.1,5.6,2.99
,"Denzel Valentine, SF",CHI,77,27.2,244,3.2,99,1.3,5.6,2.46
,"Joel Embiid, C",PHI,63,30.3,199,3.2,234,3.7,5.0,0.85
66,"Pau Gasol, C",SA,77,23.5,238,3.1,108,1.4,6.3,2.20
,"Isaiah Taylor, G",ATL,67,17.4,206,3.1,84,1.3,8.5,2.45
68,"Andre Drummond, C",DET,78,33.7,237,3.0,200,2.6,4.3,1.19
,"JJ Redick, SG",PHI,70,30.2,210,3.0,103,1.5,4.8,2.04
,"Mario Chalmers, PG",MEM,66,21.5,197,3.0,117,1.8,6.7,1.68
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
71,"Terry Rozier, PG",BOS,80,25.9,232,2.9,80,1.0,5.4,2.90
,"Delon Wright, PG",TOR,69,20.8,200,2.9,78,1.1,6.7,2.56
,"Gary Harris, SG",DEN,67,34.4,194,2.9,119,1.8,4.0,1.63
,"Lance Stephenson, SG",IND,82,22.6,235,2.9,131,1.6,6.1,1.79
,"Josh Richardson, SF",MIA,81,33.2,231,2.9,140,1.7,4.1,1.65
,"Dejounte Murray, PG",SA,81,21.5,231,2.9,134,1.7,6.4,1.72
77,"Tyus Jones, PG",MIN,82,17.9,232,2.8,59,0.7,7.6,3.93
,"Patty Mills, PG",SA,82,25.7,229,2.8,106,1.3,5.2,2.16
,"George Hill, PG",CLE/SAC,67,27.0,186,2.8,88,1.3,4.9,2.11
80,"Wesley Matthews, SG",DAL,63,33.8,172,2.7,83,1.3,3.9,2.07
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
81,"Kyle Anderson, SF",SA,74,26.7,202,2.7,94,1.3,4.9,2.15
,"Jordan Clarkson, PG",CLE/LAL,81,23.3,221,2.7,127,1.6,5.6,1.74
,"Kelly Olynyk, PF",MIA,76,23.4,207,2.7,147,1.9,5.6,1.41
84,"Taurean Prince, SF",ATL,82,30.0,214,2.6,191,2.3,4.2,1.12
,"Dario Saric, PF",PHI,78,29.6,202,2.6,148,1.9,4.2,1.36
,"Julius Randle, PF",LAL,82,26.7,210,2.6,213,2.6,4.6,0.99
87,"Klay Thompson, SG",GS,73,34.3,185,2.5,128,1.8,3.5,1.45
,"Manu Ginobili, SG",SA,65,20.0,163,2.5,105,1.6,6.0,1.55
,"Jonathon Simmons, SF",ORL,69,29.4,171,2.5,146,2.1,4.0,1.17
,"Raymond Felton, PG",OKC,82,16.6,203,2.5,76,0.9,7.1,2.67
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Rondae Hollis-Jefferson, SF",BKN,68,28.3,167,2.5,121,1.8,4.2,1.38
,"Yogi Ferrell, PG",DAL,82,27.8,201,2.5,78,1.0,4.2,2.58
93,"Karl-Anthony Towns, C",MIN,82,35.6,199,2.4,159,1.9,3.3,1.25
,"Tobias Harris, SF",DET/LAC,80,33.4,192,2.4,105,1.3,3.5,1.83
,"Courtney Lee, SG",NY,76,30.4,180,2.4,84,1.1,3.7,2.14
,"Willie Cauley-Stein, C",SAC,73,28.0,172,2.4,109,1.5,4.0,1.58
97,"Aaron Gordon, PF",ORL,58,32.9,136,2.3,107,1.8,3.4,1.27
,"Jeremy Lamb, SG",CHA,80,24.6,186,2.3,93,1.2,4.5,2.00
,"Anthony Davis, PF",NO,75,36.4,174,2.3,162,2.2,3.1,1.07
,"Jamal Crawford, SG",MIN,80,20.7,185,2.3,95,1.2,5.4,1.95
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Tyler Johnson, SG",MIA,72,28.5,165,2.3,81,1.1,3.9,2.04
,"E'Twaun Moore, SF",NO,82,31.5,187,2.3,102,1.2,3.5,1.83
103,"Eric Gordon, SG",HOU,69,31.2,154,2.2,130,1.9,3.4,1.18
,"Evan Turner, SF",POR,79,25.7,173,2.2,99,1.3,4.1,1.75
,"Kentavious Caldwell-Pope, SG",LAL,74,33.2,162,2.2,97,1.3,3.2,1.67
,"Justise Winslow, SF",MIA,68,24.7,148,2.2,77,1.1,4.2,1.92
,"Zach Randolph, PF",SAC,59,25.6,127,2.2,116,2.0,4.0,1.09
108,"Wilson Chandler, SF",DEN,74,31.6,159,2.1,92,1.2,3.3,1.73
,"Devin Harris, PG",DAL/DEN,71,18.9,152,2.1,76,1.1,5.4,2.00
,"Justin Holiday, SG",CHI,72,31.5,153,2.1,93,1.3,3.2,1.65
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Kyle O'Quinn, C",NY,77,18.0,158,2.1,100,1.3,5.5,1.58
112,"Domantas Sabonis, C",IND,74,24.5,151,2.0,137,1.9,4.0,1.10
,"Otto Porter Jr., SF",WSH,77,31.6,157,2.0,75,1.0,3.1,2.09
,"Shabazz Napier, PG",POR,74,20.7,150,2.0,90,1.2,4.7,1.67
,"LaMarcus Aldridge, PF",SA,75,33.5,152,2.0,111,1.5,2.9,1.37
,"DeMarre Carroll, SF",BKN,73,29.9,147,2.0,103,1.4,3.2,1.43
,"Harrison Barnes, SF",DAL,77,34.2,152,2.0,118,1.5,2.8,1.29
,"Shaun Livingston, PG",GS,71,15.9,140,2.0,58,0.8,6.0,2.41
,"Pascal Siakam, PF",TOR,81,20.7,159,2.0,67,0.8,4.5,2.37
,"Andrew Wiggins, SF",MIN,82,36.3,160,2.0,138,1.7,2.6,1.16
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
121,"Robert Covington, SF",PHI,80,31.6,156,2.0,126,1.6,3.0,1.24
122,"Markieff Morris, PF",WSH,73,27.0,142,1.9,127,1.7,3.5,1.12
,"Buddy Hield, SG",SAC,80,25.3,155,1.9,124,1.6,3.7,1.25
,"Robin Lopez, C",CHI,64,26.4,124,1.9,107,1.7,3.5,1.16
,"Mason Plumlee, C",DEN,74,19.5,142,1.9,102,1.4,4.7,1.39
,"Garrett Temple, SF",SAC,65,24.8,124,1.9,79,1.2,3.7,1.57
,"David West, PF",GS,73,13.7,138,1.9,80,1.1,6.6,1.73
,"Thaddeus Young, PF",IND,81,32.2,152,1.9,105,1.3,2.8,1.45
,"Marco Belinelli, SG",ATL/PHI,80,24.3,148,1.9,94,1.2,3.7,1.57
130,"Marcin Gortat, C",WSH,82,25.3,151,1.8,99,1.2,3.5,1.53
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Kyle Kuzma, PF",LAL,77,31.2,141,1.8,140,1.8,2.8,1.01
,"Jusuf Nurkic, C",POR,79,26.4,143,1.8,183,2.3,3.3,0.78
,"JR Smith, SG",CLE,80,28.1,141,1.8,81,1.0,3.0,1.74
134,"Kevin Love, C",CLE,59,28.0,103,1.7,90,1.5,3.0,1.14
,"Brook Lopez, C",LAL,74,23.4,126,1.7,98,1.3,3.5,1.29
,"Luke Kennard, SG",DET,73,20.0,124,1.7,69,0.9,4.1,1.80
,"Bobby Portis, PF",CHI,73,22.5,123,1.7,103,1.4,3.6,1.19
,"Michael Beasley, SF",NY,74,22.3,123,1.7,143,1.9,3.6,0.86
139,"Dillon Brooks, SF",MEM,82,28.7,135,1.6,124,1.5,2.8,1.09
,"Joe Harris, SF",BKN,78,25.3,128,1.6,91,1.2,3.1,1.41
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Frank Kaminsky, PF",CHA,79,23.2,129,1.6,66,0.8,3.4,1.95
,"Jaylen Brown, SG",BOS,70,30.7,114,1.6,124,1.8,2.5,0.92
,"Stanley Johnson, SF",DET,69,27.4,112,1.6,77,1.1,2.8,1.45
,"Jayson Tatum, SF",BOS,80,30.5,128,1.6,114,1.4,2.5,1.12
,"Amir Johnson, C",PHI,74,15.8,118,1.6,55,0.7,4.8,2.15
,"Dragan Bender, PF",PHX,82,25.2,130,1.6,112,1.4,3.0,1.16
,"Rodney Hood, SG",CLE/UTAH,60,26.9,95,1.6,70,1.2,2.8,1.36
,"Zaza Pachulia, C",GS,69,14.1,109,1.6,72,1.0,5.4,1.51
,"Danny Green, SG",SA,70,25.6,110,1.6,74,1.1,2.9,1.49
,"Trevor Ariza, SF",HOU,67,33.9,105,1.6,52,0.8,2.2,2.02
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Allen Crabbe, SG",BKN,75,29.3,117,1.6,78,1.0,2.6,1.50
,"Dirk Nowitzki, C",DAL,77,24.7,120,1.6,51,0.7,3.0,2.35
153,"Josh Jackson, SG",PHX,77,25.4,119,1.5,146,1.9,2.9,0.82
,"Reggie Bullock, SG",DET,62,27.9,95,1.5,47,0.8,2.6,2.02
,"DeAndre Jordan, C",LAC,77,31.5,117,1.5,137,1.8,2.3,0.85
,"John Henson, C",MIL,76,25.9,114,1.5,84,1.1,2.8,1.36
,"Bojan Bogdanovic, SF",IND,80,30.8,119,1.5,106,1.3,2.3,1.12
,"Ian Clark, SG",NO,74,19.6,110,1.5,57,0.8,3.6,1.93
,"David Nwaba, SF",CHI,70,23.5,104,1.5,77,1.1,3.0,1.35
,"Enes Kanter, C",NY,71,25.8,105,1.5,122,1.7,2.8,0.86
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
161,"Bam Adebayo, C",MIA,69,19.8,101,1.5,66,1.0,3.5,1.53
,"Dewayne Dedmon, C",ATL,62,24.9,90,1.5,86,1.4,2.8,1.05
163,"Malik Monk, SG",CHA,63,13.5,91,1.4,49,0.8,5.1,1.86
,"Mario Hezonja, SF",ORL,75,22.1,106,1.4,86,1.1,3.1,1.23
,"Royce O'Neale, SF",UTAH,69,16.7,95,1.4,55,0.8,4.0,1.73
,"Darius Miller, SF",NO,82,23.7,111,1.4,58,0.7,2.7,1.91
167,"Myles Turner, C",IND,65,28.2,87,1.3,96,1.5,2.3,0.91
,"Derrick Favors, PF",UTAH,77,28.0,102,1.3,88,1.1,2.3,1.16
,"John Collins, PF",ATL,74,24.1,98,1.3,105,1.4,2.6,0.93
,"Carmelo Anthony, F",OKC,78,32.1,103,1.3,99,1.3,2.0,1.04
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"TJ Warren, SF",PHX,65,33.0,85,1.3,84,1.3,1.9,1.01
,"Tony Snell, SG",MIL,75,27.4,98,1.3,36,0.5,2.3,2.72
,"Ersan Ilyasova, PF",ATL/PHI,69,25.1,90,1.3,72,1.0,2.5,1.25
,"Dwight Howard, C",CHA,81,30.4,105,1.3,208,2.6,2.0,0.50
,"Nemanja Bjelica, PF",MIN,67,20.5,86,1.3,52,0.8,3.0,1.65
,"Norman Powell, SF",TOR,70,15.2,89,1.3,66,0.9,4.0,1.35
,"Josh Hart, SG",LAL,63,23.2,80,1.3,47,0.7,2.6,1.70
,"Jeff Green, SF",CLE,78,23.4,99,1.3,75,1.0,2.6,1.32
179,"Trey Lyles, PF",DEN,73,19.1,91,1.2,61,0.8,3.1,1.49
,"Larry Nance Jr., PF",CLE/LAL,66,21.5,82,1.2,51,0.8,2.8,1.61
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Jae Crowder, PF",CLE/UTAH,80,26.1,99,1.2,74,0.9,2.3,1.34
,"Marvin Williams, PF",CHA,78,25.7,96,1.2,66,0.8,2.3,1.45
,"Kosta Koufos, C",SAC,71,19.6,87,1.2,49,0.7,3.0,1.78
,"Al-Farouq Aminu, PF",POR,69,30.0,84,1.2,79,1.1,1.9,1.06
,"Kelly Oubre Jr., SF",WSH,81,27.5,98,1.2,90,1.1,2.1,1.09
,"Taj Gibson, PF",MIN,82,33.3,99,1.2,89,1.1,1.7,1.11
,"Trevor Booker, PF",IND/BKN/PHI,68,17.0,82,1.2,59,0.9,3.4,1.39
,"Kyle Korver, SG",CLE,73,21.6,88,1.2,55,0.8,2.7,1.60
,"Skal Labissiere, PF",SAC,60,20.7,72,1.2,73,1.2,2.8,0.99
,"Vince Carter, SG",SAC,58,17.7,69,1.2,36,0.6,3.2,1.92
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Alex Len, C",PHX,69,20.2,82,1.2,78,1.1,2.8,1.05
,"Eric Moreland, C",DET,67,12.0,78,1.2,41,0.6,4.7,1.90
,"Lauri Markkanen, PF",CHI,68,29.7,79,1.2,83,1.2,1.9,0.95
,"Steven Adams, C",OKC,76,32.7,88,1.2,127,1.7,1.7,0.69
,"Marquese Chriss, PF",PHX,72,21.2,83,1.2,107,1.5,2.6,0.78
,"Dwight Powell, C",DAL,79,21.2,91,1.2,59,0.7,2.6,1.54
197,"Aron Baynes, C",BOS,81,18.3,93,1.1,80,1.0,3.0,1.16
,"Anthony Tolliver, PF",DET,79,22.2,90,1.1,58,0.7,2.5,1.55
,"Pat Connaughton, SG",POR,82,18.1,91,1.1,43,0.5,2.9,2.12
,"Justin Jackson, SF",SAC,68,22.1,74,1.1,40,0.6,2.4,1.85
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
201,"Mike Scott, PF",WSH,76,18.5,80,1.1,79,1.0,2.7,1.01
,"Jonas Valanciunas, C",TOR,77,22.4,81,1.1,115,1.5,2.3,0.70
203,"Alec Burks, SG",UTAH,64,16.5,67,1.0,60,0.9,3.0,1.12
,"Wayne Ellington, SG",MIA,77,26.5,79,1.0,52,0.7,1.9,1.52
,"Bryn Forbes, SG",SA,80,19.0,80,1.0,37,0.5,2.5,2.16
,"Jarell Martin, PF",MEM,73,22.8,73,1.0,86,1.2,2.1,0.85
,"Langston Galloway, SG",DET,58,14.9,58,1.0,18,0.3,3.2,3.22
,"James Ennis III, SF",DET/MEM,72,22.3,71,1.0,56,0.8,2.1,1.27
,"Doug McDermott, SF",DAL/NY,81,21.8,79,1.0,56,0.7,2.1,1.41
,"Montrezl Harrell, PF",LAC,76,17.0,74,1.0,68,0.9,2.7,1.09
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Davis Bertans, C",SA,77,14.1,74,1.0,36,0.5,3.3,2.06
,"Michael Kidd-Gilchrist, SF",CHA,74,25.0,71,1.0,53,0.7,1.8,1.34
213,"PJ Tucker, SF",HOU,82,27.8,77,0.9,74,0.9,1.6,1.04
,"Treveon Graham, SG",CHA,63,16.7,59,0.9,27,0.4,2.7,2.19
,"Sindarius Thornwell, SG",LAC,73,15.8,68,0.9,53,0.7,2.8,1.28
,"Wesley Iwundu, SF",ORL,62,16.5,57,0.9,30,0.5,2.7,1.90
,"Clint Capela, C",HOU,74,27.5,68,0.9,103,1.4,1.6,0.66
,"Jodie Meeks, SG",WSH,77,14.5,70,0.9,37,0.5,3.0,1.89
,"Ryan Anderson, PF",HOU,66,26.1,60,0.9,42,0.6,1.7,1.43
,"Corey Brewer, SG",LAL/OKC,72,16.8,65,0.9,49,0.7,2.6,1.33
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Luc Mbah a Moute, PF",HOU,61,25.6,55,0.9,68,1.1,1.7,0.81
,"Gorgui Dieng, C",MIN,79,16.9,71,0.9,59,0.7,2.6,1.20
,"Maurice Harkless, SF",POR,59,21.4,53,0.9,40,0.7,2.0,1.33
,"Daniel Theis, PF",BOS,63,14.8,56,0.9,56,0.9,2.9,1.00
225,"Ekpe Udoh, C",UTAH,63,12.9,53,0.8,20,0.3,3.1,2.65
,"DeAndre Liggins, SG",NO/MIL,58,12.5,48,0.8,20,0.3,3.2,2.40
,"Wesley Johnson, SF",LAC,74,20.1,61,0.8,55,0.7,2.0,1.11
,"Serge Ibaka, PF",TOR,76,27.5,62,0.8,90,1.2,1.4,0.69
,"Quincy Acy, SF",BKN,70,19.4,57,0.8,60,0.9,2.0,0.95
,"Bismack Biyombo, C",ORL,82,18.2,66,0.8,84,1.0,2.1,0.79
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Zach Collins, C",POR,66,15.8,52,0.8,58,0.9,2.4,0.90
,"CJ Miles, SF",TOR,70,19.1,55,0.8,39,0.6,2.0,1.41
233,"OG Anunoby, SF",TOR,74,20.0,55,0.7,45,0.6,1.8,1.22
,"Tyler Zeller, C",MIL/BKN,66,16.8,47,0.7,47,0.7,2.0,1.00
,"Maximilian Kleber, PF",DAL,72,16.8,51,0.7,30,0.4,2.0,1.70
,"Jerami Grant, SF",OKC,81,20.3,57,0.7,54,0.7,1.7,1.06
,"Patrick Patterson, PF",OKC,82,15.5,57,0.7,33,0.4,2.2,1.73
,"Jakob Poeltl, C",TOR,82,18.6,57,0.7,85,1.0,1.8,0.67
,"Ian Mahinmi, C",WSH,77,14.9,53,0.7,100,1.3,2.2,0.53
,"Jarrett Allen, C",BKN,72,20.0,49,0.7,82,1.1,1.6,0.60
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
241,"Cedi Osman, SF",CLE,61,11.0,41,0.7,32,0.5,2.9,1.28
,"Dante Cunningham, SF",NO/BKN,73,21.4,48,0.7,33,0.5,1.5,1.45
243,"Deyonta Davis, C",MEM,62,15.2,40,0.6,32,0.5,2.0,1.25
,"Kevon Looney, SF",GS,66,13.8,42,0.6,31,0.5,2.2,1.35
,"Thon Maker, C",MIL,74,16.7,46,0.6,44,0.6,1.8,1.05
,"Troy Daniels, SG",PHX,79,20.5,48,0.6,56,0.7,1.4,0.86
,"Lance Thomas, SF",NY,73,18.5,44,0.6,41,0.6,1.6,1.07
,"Brandon Paul, G",SA,64,9.0,37,0.6,29,0.5,3.1,1.28
,"Salah Mejri, C",DAL,61,12.0,35,0.6,39,0.6,2.3,0.90
,"Jonas Jerebko, PF",UTAH,74,15.3,42,0.6,27,0.4,1.8,1.56
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
251,"Sam Dekker, SF",LAC,73,12.1,38,0.5,33,0.5,2.1,1.15
,"Ed Davis, PF",POR,78,18.9,40,0.5,66,0.8,1.3,0.61
,"JaVale McGee, C",GS,65,9.5,33,0.5,27,0.4,2.6,1.22
,"Malik Beasley, SG",DEN,62,9.5,31,0.5,24,0.4,2.5,1.29
,"Nick Young, SG",GS,80,17.4,36,0.5,39,0.5,1.2,0.92
256,"Alex Abrines, SG",OKC,75,15.1,28,0.4,25,0.3,1.2,1.12
257,"Terrance Ferguson, SG",OKC,61,12.5,19,0.3,11,0.2,1.2,1.73
,"Josh Huestis, SG",OKC,69,14.2,20,0.3,26,0.4,1.0,0.77
,"Semi Ojeleye, PF",BOS,73,15.8,20,0.3,25,0.3,0.8,0.80
